case_id,dataset_label,fg_id,bg_id,foreground_category,background_category,full_mode,lite_mode,full_candidate_count,lite_candidate_budget,lite_candidate_count,score_call_reduction_pct,full_top1_id,lite_top1_id,top1_matches,full_top1_score,lite_top1_score,full_top3_ids,lite_top3_ids,top3_overlap_count,top3_overlap_ratio,full_dataset_position_rank,lite_dataset_position_rank,full_dataset_position_score,lite_dataset_position_score,full_assessment,lite_assessment,assessment_matches,full_inner_runtime_ms,lite_inner_runtime_ms,lite_case_elapsed_ms,full_model_version,lite_model_version
opa_test_001,1,69931,442445,cow,cow,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,0.9985,0.9985,opa_position;prior_02;prior_07,opa_position;prior_02;prior_01,2,0.6667,1,1,0.9985,0.9985,pass_positive_high_rank,pass_positive_high_rank,yes,495.0,375,3417.04,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_002,1,64754,186413,sheep,sheep,simopa-full,simopa-lite,13,6,7,46.15,prior_01,prior_01,yes,1.0,1.0,prior_01;prior_02;prior_03,prior_01;prior_02;prior_03,3,1.0,10,7,0.9987,0.9987,review_positive_high_score_low_rank,review_positive_high_score_low_rank,yes,490.0,375,3483.27,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_003,1,160915,580029,airplane,airplane,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,483.0,353,3283.67,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_004,1,157189,15016,airplane,airplane,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_03,opa_position;prior_01;prior_03,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,483.0,355,3288.54,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_005,1,65690,186413,sheep,sheep,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,488.0,363,3375.24,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_006,1,2175267,348935,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_04,opa_position;prior_01;prior_04,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,501.0,368,3372.1,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_007,1,1519373,78478,fork,spoon,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_05,opa_position;prior_01;prior_05,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,489.0,360,3213.87,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_008,1,1412247,213399,zebra,zebra,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,494.0,360,3339.89,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_009,1,13433,500165,dog,dog,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,503.0,352,3401.03,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_010,1,1914814,298623,broccoli,broccoli,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_01;prior_02,opa_position;prior_01;prior_02,3,1.0,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,487.0,350,3287.46,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
opa_test_011,1,128038,180967,bicycle,bicycle,simopa-full,simopa-lite,13,6,7,46.15,opa_position,opa_position,yes,1.0,1.0,opa_position;prior_03;prior_10,opa_position;prior_03;prior_01,2,0.6667,1,1,1.0,1.0,pass_positive_high_rank,pass_positive_high_rank,yes,485.0,347,3326.83,simopa-rgb-mask-v1,simopa-lite-candidate-budget-v1
