change_id,area,change_type,description,implementation_files,evidence_artifacts,status,high_score_value,limitation,next_upgrade
C001,Real model integration,functionality,Expose SimOPA as a scorer mode behind the FastAPI recommendation API.,server/scorer.py; server/recommender.py; experiments/opa_baseline/score_candidates.py,report/tables/api_simopa_smoke.csv; report/logs/api_simopa_smoke.txt,completed,Proves the demo is backed by local model inference rather than mock-only output.,Subprocess model loading is slower than an in-process persistent scorer.,Add full/lite scorer modes and runtime comparison.
C002,Top 3 candidate ranking,functionality,"Score OPA labeled placement and generated prior candidates, then rank Top 3.",experiments/opa_baseline/run_candidate_ranking.py; server/recommender.py,report/tables/candidate_ranking_v1.csv; report/tables/candidate_ranking_v2_50.csv; report/tables/candidate_ranking_v2_100.csv; report/tables/opa_100_case_summary.csv,completed,Turns a single score model into an object-placement recommendation workflow.,Current evidence covers 100 cases; 6 positive cases remain high-score boundary cases outside Top 3.,Use boundary cases to discuss SimOPA score saturation and candidate diversity.
C003,RGB/mask input ablation,input adaptation,"Compare object mask, coarse bbox mask, and blank mask for the same composite candidates.",experiments/opa_baseline/run_rgb_mask_comparison.py,report/tables/rgb_vs_mask_comparison.csv; report/logs/rgb_vs_mask_comparison.txt,completed,Shows that the mask channel materially changes scores and Top 3 membership.,"This is an ablation of the SimOPA input, not a backbone rewrite.",Add mask dilation/erosion robustness tests.
C004,Score calibration and tier labels,output adaptation,Apply temperature scaling and map scores to recommended/acceptable/rejected tiers.,experiments/opa_baseline/run_score_calibration.py; server/recommender.py,report/tables/score_calibration_v1.csv; report/logs/score_calibration_v1.txt,completed,Makes saturated model scores easier to interpret in the Web app and report.,Calibration is post-hoc and does not retrain the scorer.,Surface confidence prompts in the Web UI.
C005,Candidate IoU dedup,postprocess reliability,Remove highly overlapping candidates from ranked results with an IoU threshold.,experiments/opa_baseline/run_score_calibration.py,report/tables/score_calibration_v1.csv,completed,Reduces duplicate Top 3 recommendations and clarifies boundary cases.,Does not solve score saturation when multiple distinct candidates score near 1.0.,Add frontend warnings for saturated or overlapping Top 3 results.
C006,Representative case gallery,case analysis,"Render success, boundary, false-positive-risk, and clear-rejection examples.",experiments/opa_baseline/run_case_gallery.py,report/tables/failure_cases.csv; report/screenshots/cases/,completed,Provides concrete artifacts for teammate-owned report/PPT and live demo.,Only five cases are visualized; not a statistical benchmark.,Connect built-in Web samples to these representative cases.
C007,Occlusion explainability,explainability,Run a 6x6 occlusion sensitivity test and render heatmaps for representative cases.,experiments/opa_baseline/run_occlusion_explainability.py,report/tables/occlusion_explainability_v1.csv; report/screenshots/explainability/,completed,Shows which image regions affect SimOPA scores and supports model-explanation credit.,Occlusion is slower than a single forward pass and currently offline.,Link heatmaps from the Web case area.
C008,Runtime evidence summary,measurement,Aggregate end-to-end and per-candidate runtime evidence from existing experiments.,experiments/opa_baseline/run_evidence_summary.py,report/tables/inference_runtime.csv; report/logs/evidence_summary.txt,completed,Gives the project a single runtime table for local inference proof.,Some rows use batch-level logs rather than per-call model timers.,Use this table to compare full/lite modes after lite mode lands.
C009,Web demo workflow and visual polish,frontend workflow,"Load stable demo cases, export recommendation evidence, surface confidence prompts, and switch to a classroom demo layout.",web/app.js; web/index.html; web/styles.css; server/app.py; docs/API.md,Web UI validation V016/V017; /api/demo/cases; exported JSON/CSV; presentation mode,completed,"Makes the app easier to demo, improves scanability, and reduces live-presentation risk.",Current validation used Playwright fallback because the in-app Browser runtime failed to start.,Keep future UI work focused on evidence handoff rather than decorative redesign.
C010,Lightweight inference track,lightweight model/serving,"Compare simopa-full with simopa-lite, a candidate-budget mode that scores fewer placements.",server/scorer.py; server/recommender.py; web/index.html; experiments/opa_baseline/run_lite_mode_comparison.py,report/tables/lite_mode_comparison.csv; report/logs/lite_mode_comparison.txt,completed,Adds a speed/quality trade-off story without claiming a newly trained lightweight network.,Lite mode reduces candidate evaluations; it is not a separate trained backbone.,Optionally train LightOPA ResNet18/MobileNet if a true lightweight network is needed.
